county,area,rate2007,rate2008,rate2009,rate2010,rate2011,rate2012,rate2013,rate2014,rate2015,rate2016
01001,Autauga County,3.3,5.1,9.7,8.9,8.4,6.9,6.2,5.9,5.3,5.3
01003,Baldwin County,3.1,4.6,9.8,10.0,9.0,7.5,6.6,6.1,5.6,5.4
01005,Barbour County,6.3,8.8,14.3,12.3,11.5,11.5,10.2,10.6,8.8,8.6
01007,Bibb County,4.1,5.8,13.3,11.4,10.5,8.5,7.9,7.2,6.7,6.6
01009,Blount County,3.2,4.7,10.0,9.8,8.7,6.9,6.3,6.1,5.4,5.5
01011,Bullock County,9.4,10.5,15.6,11.8,11.6,10.4,9.4,8.8,7.9,7.2
01013,Butler County,6.2,8.5,16.4,13.6,12.5,11.5,10.3,8.6,7.6,7.1
01015,Calhoun County,3.9,5.7,11.1,11.4,10.3,8.9,8.8,8.0,7.0,6.7
01017,Chambers County,6.5,14.4,19.6,14.9,12.0,9.9,8.0,6.7,6.0,5.5
01019,Cherokee County,4.2,5.7,11.7,10.6,9.7,8.0,6.6,5.8,5.4,5.2
01021,Chilton County,3.4,5.1,10.6,10.3,9.1,7.2,6.6,6.3,5.7,5.6
01023,Choctaw County,5.9,8.3,13.5,13.3,13.1,10.3,9.2,9.0,9.1,8.9
01025,Clarke County,6.1,9.0,16.5,19.9,18.8,15.0,13.8,12.2,11.7,11.1
01027,Clay County,5.5,7.9,16.7,14.5,11.8,9.4,8.4,7.2,6.1,6.2
01029,Cleburne County,3.7,5.1,10.2,10.0,9.7,8.2,7.7,6.6,6.0,6.1
01031,Coffee County,3.8,4.8,8.5,8.6,8.1,7.0,6.9,6.7,5.9,6.1
01033,Colbert County,4.6,6.5,11.6,11.5,10.2,8.8,8.2,8.3,7.9,7.0
01035,Conecuh County,6.4,9.4,19.9,17.2,15.2,11.9,10.7,10.4,9.2,8.6
01037,Coosa County,5.8,8.3,16.0,15.4,12.5,9.4,9.2,8.8,6.7,6.1
01039,Covington County,3.9,5.9,10.8,10.3,9.8,8.4,8.1,7.8,7.1,7.0
01041,Crenshaw County,4.3,5.6,10.4,10.2,9.9,8.3,7.7,6.9,6.0,6.0
01043,Cullman County,3.4,4.9,10.3,10.4,9.5,7.7,6.7,6.1,5.2,5.1
01045,Dale County,4.0,5.4,9.6,8.8,8.3,7.4,7.4,7.1,6.3,5.9
01047,Dallas County,8.3,11.1,21.1,16.9,15.1,12.9,12.2,11.3,9.6,9.4
01049,DeKalb County,4.3,5.8,14.3,12.7,11.8,9.0,7.6,6.9,6.0,6.2
01051,Elmore County,3.3,5.1,9.5,9.1,8.4,6.9,6.2,5.7,5.1,4.9
01053,Escambia County,5.3,7.6,13.5,11.8,10.8,9.2,8.6,8.0,7.0,6.7
01055,Etowah County,4.5,6.0,11.5,10.9,10.0,8.2,7.6,7.1,6.1,6.0
01057,Fayette County,4.7,7.2,14.0,13.0,11.1,8.6,8.3,7.9,7.0,7.0
01059,Franklin County,4.6,7.4,13.4,10.7,9.6,8.4,8.1,7.7,6.4,6.1
01061,Geneva County,3.5,5.5,10.8,10.4,9.2,7.6,7.0,6.7,5.9,5.9
01063,Greene County,6.4,8.5,15.3,17.3,17.3,13.6,12.8,12.5,11.1,10.1
01065,Hale County,5.4,7.4,14.3,15.1,13.8,11.5,11.6,9.9,7.8,7.8
01067,Henry County,5.4,7.7,11.2,10.9,9.7,8.3,7.7,7.5,6.8,6.6
01069,Houston County,3.3,4.9,9.3,9.1,8.6,7.5,6.9,6.8,6.2,5.9
01071,Jackson County,4.5,6.2,12.8,11.8,10.3,8.6,7.9,7.3,6.6,6.4
01073,Jefferson County,3.9,5.4,10.8,10.3,9.3,7.4,6.7,6.3,5.8,5.9
01075,Lamar County,6.3,8.0,16.0,13.2,9.7,7.5,7.0,7.0,6.3,5.7
01077,Lauderdale County,4.3,5.7,10.7,10.1,9.1,7.7,7.1,7.2,6.9,6.4
01079,Lawrence County,4.1,6.5,13.6,12.6,10.9,9.0,8.3,8.2,7.7,7.0
01081,Lee County,3.6,5.2,9.4,9.0,8.1,6.8,5.9,5.6,5.2,5.3
01083,Limestone County,3.3,4.7,9.8,9.6,8.6,6.9,6.3,6.1,5.5,5.3
01085,Lowndes County,7.5,10.9,19.3,18.5,17.7,15.4,14.1,12.8,11.7,10.8
01087,Macon County,5.4,7.4,12.2,14.8,14.0,10.7,9.7,9.1,8.0,7.7
01089,Madison County,3.1,4.2,8.0,8.3,8.3,6.9,6.3,6.2,5.5,5.2
01091,Marengo County,5.3,7.4,14.2,13.7,12.6,10.2,8.9,8.0,7.6,7.4
01093,Marion County,5.2,8.0,16.6,13.6,11.2,8.9,7.9,7.9,6.9,6.7
01095,Marshall County,3.4,4.7,10.2,9.6,9.4,7.8,6.8,6.7,5.8,5.5
01097,Mobile County,4.0,5.7,11.3,11.3,10.8,9.2,8.5,7.8,7.0,6.9
01099,Monroe County,6.4,10.2,19.5,18.1,15.7,12.5,11.9,11.1,10.0,9.4
01101,Montgomery County,4.1,5.9,10.5,10.0,9.7,8.1,7.3,6.9,6.2,5.9
01103,Morgan County,3.5,5.2,10.8,10.8,9.4,7.8,6.9,6.6,5.8,5.6
01105,Perry County,8.4,11.3,19.9,16.8,16.5,13.3,13.6,12.1,10.0,10.6
01107,Pickens County,5.0,7.1,13.7,13.1,12.0,10.2,9.4,8.2,6.8,6.9
01109,Pike County,4.0,4.9,9.5,9.4,8.9,8.0,7.6,7.4,6.6,6.4
01111,Randolph County,5.1,7.3,14.9,13.4,11.4,9.2,7.8,6.7,5.9,5.7
01113,Russell County,6.1,8.0,12.3,10.9,10.3,8.8,7.2,6.5,5.9,5.6
01115,St. Clair County,3.4,5.0,10.9,10.1,8.8,6.9,6.1,5.8,5.3,5.3
01117,Shelby County,2.6,3.7,7.8,7.1,6.2,5.0,4.6,4.5,4.2,4.4
01119,Sumter County,6.5,8.7,14.9,13.3,13.1,10.5,9.0,8.5,8.0,7.8
01121,Talladega County,5.2,7.2,14.4,13.5,11.6,9.4,8.6,7.8,6.6,6.8
01123,Tallapoosa County,5.3,7.2,13.6,13.1,11.4,8.6,8.1,7.5,6.1,5.6
01125,Tuscaloosa County,3.3,4.7,10.2,9.2,8.3,7.0,6.4,5.9,5.5,5.8
01127,Walker County,4.3,5.7,11.6,12.7,11.3,9.2,8.5,7.9,7.3,7.6
01129,Washington County,5.9,8.4,15.1,14.2,14.6,11.9,10.9,9.6,8.9,8.7
01131,Wilcox County,9.7,14.0,26.0,26.3,23.2,19.9,19.3,17.0,14.6,14.7
01133,Winston County,5.6,8.7,17.7,16.0,13.5,10.0,9.4,8.6,7.5,7.3
02013,Aleutians East Borough,8.0,8.7,9.9,5.6,6.2,6.8,6.0,4.5,3.2,2.7
02016,Aleutians West Census Area,5.4,5.8,7.0,5.1,5.8,6.9,6.9,4.8,3.8,3.3
02020,Anchorage Borough/municipality,5.1,5.4,6.5,6.6,6.0,5.4,5.2,5.2,5.0,5.3
02050,Bethel Census Area,12.8,13.9,14.1,14.6,15.0,15.4,16.0,16.0,14.2,14.1
02060,Bristol Bay Borough,4.7,4.9,4.8,9.7,8.9,9.8,8.8,8.0,9.2,6.9
02068,Denali Borough,6.2,6.1,8.3,11.9,13.7,13.8,12.4,10.3,8.6,8.6
02070,Dillingham Census Area,9.1,9.3,10.2,10.1,10.6,9.9,10.1,10.0,9.6,9.7
02090,Fairbanks North Star Borough,5.6,6.1,7.1,6.6,6.4,6.1,5.8,5.7,5.4,5.7
02100,Haines Borough,7.4,8.8,9.0,10.6,10.0,10.0,10.0,10.6,9.7,9.8
02105,Hoonah-Angoon Census Area,,,,14.0,15.1,14.3,14.6,15.1,15.0,11.5
02110,Juneau Borough/city,4.5,4.8,5.9,5.9,5.6,5.1,5.0,5.0,4.7,4.4
02122,Kenai Peninsula Borough,7.9,8.2,9.8,10.0,9.5,8.6,8.0,7.8,7.8,8.2
02130,Ketchikan Gateway Borough,5.7,5.9,7.1,8.7,8.6,8.1,7.8,7.8,6.8,6.2
02150,Kodiak Island Borough,6.3,6.8,7.1,7.4,7.4,6.7,6.2,5.7,4.8,5.0
02158,Kusilvak Census Area,20.4,20.6,20.8,20.4,21.1,22.1,23.5,23.7,22.9,21.3
02164,Lake and Peninsula Borough,5.5,6.9,8.1,14.4,15.0,15.2,15.4,16.3,12.4,12.3
02170,Matanuska-Susitna Borough,7.2,7.6,8.9,9.4,9.2,8.7,8.3,8.0,7.6,8.1
02180,Nome Census Area,11.1,10.4,11.7,12.6,12.3,11.7,12.2,12.2,11.8,12.5
02185,North Slope Borough,5.4,4.2,4.7,8.0,7.6,7.7,7.3,5.9,5.7,6.5
02188,Northwest Arctic Borough,10.8,11.6,11.9,13.4,15.5,15.7,16.3,17.0,15.9,15.7
02195,Petersburg Borough,,,,7.9,8.4,8.1,8.6,9.4,8.8,8.6
02198,Prince of Wales-Hyder Census Area,,,,10.5,12.4,13.3,12.1,13.3,12.4,11.7
02201,Prince of Wales-Outer Ketchikan Census Area,13.6,13.8,15.2,,,,,,,
02220,Sitka Borough/city,5.1,5.8,6.2,6.3,6.1,5.7,5.4,5.1,4.6,4.3
02230,Skagway Municipality,,,,14.5,16.2,14.1,12.2,11.8,11.4,10.6
02232,Skagway-Hoonah-Angoon Census Area,12.5,12.9,14.7,,,,,,,
02240,Southeast Fairbanks Census Area,8.7,8.8,9.6,11.9,12.4,12.9,13.0,13.2,10.5,10.2
02261,Valdez-Cordova Census Area,8.4,8.4,8.5,9.4,9.9,9.7,9.9,9.6,8.6,8.2
02275,Wrangell Borough/city,,,,8.0,7.5,8.2,7.9,8.4,7.8,7.3
02280,Wrangell-Petersburg Census Area,9.6,10.7,10.4,,,,,,,
02282,Yakutat Borough/city,6.8,7.5,11.5,10.8,10.6,9.7,9.5,9.9,8.5,8.1
02290,Yukon-Koyukuk Census Area,13.8,14.1,14.1,17.2,18.4,17.4,18.2,18.9,18.2,17.2
04001,Apache County,8.8,11.6,15.8,16.4,18.5,19.0,18.4,15.6,13.2,11.3
04003,Cochise County,4.1,5.9,8.0,9.3,9.5,9.0,9.2,8.4,7.2,6.1
04005,Coconino County,3.7,5.6,8.5,9.9,9.5,8.6,8.1,7.1,6.5,5.9
04007,Gila County,4.3,6.5,11.4,12.5,11.6,10.2,9.6,8.3,7.8,7.2
04009,Graham County,4.3,7.1,15.0,12.9,10.0,8.5,7.7,7.4,7.3,6.7
04011,Greenlee County,3.3,5.3,18.9,16.4,11.0,8.2,5.9,6.5,7.9,7.6
04012,La Paz County,5.1,7.7,9.9,10.2,9.8,8.6,8.2,7.6,7.4,6.0
04013,Maricopa County,3.3,5.4,9.1,9.5,8.6,7.3,6.6,5.8,5.1,4.5
04015,Mohave County,4.7,7.7,11.4,13.0,12.3,11.0,10.3,8.7,7.9,6.6
04017,Navajo County,6.4,10.1,15.3,14.7,14.8,14.1,13.5,11.1,9.6,8.1
04019,Pima County,3.7,5.8,9.1,9.3,8.5,7.4,6.8,6.0,5.4,4.9
04021,Pinal County,4.6,7.4,12.3,10.7,9.8,8.5,8.1,7.0,6.3,5.5
04023,Santa Cruz County,7.4,11.0,15.8,15.2,15.5,15.4,15.4,12.9,11.4,9.9
04025,Yavapai County,3.7,6.2,10.5,10.7,9.9,8.6,7.7,6.3,5.6,4.9
04027,Yuma County,14.1,18.4,23.0,25.1,24.2,23.9,25.5,22.9,21.6,18.6
05001,Arkansas County,8.7,9.8,15.7,18.6,12.2,8.8,7.5,5.4,4.2,3.5
05003,Ashley County,8.1,7.6,10.5,10.1,11.2,12.3,11.0,9.3,7.8,6.3
05005,Baxter County,5.4,6.0,9.3,9.4,9.3,8.4,8.2,6.7,5.5,4.3
05007,Benton County,3.7,4.1,6.4,6.6,6.5,6.0,5.7,4.6,3.8,2.9
05009,Boone County,5.1,5.5,7.5,7.8,8.0,7.6,7.1,6.0,4.9,3.7
05011,Bradley County,6.1,7.2,9.8,10.8,12.5,11.1,9.9,8.4,6.1,5.2
05013,Calhoun County,6.7,6.2,8.4,8.8,9.6,9.1,8.3,6.7,5.4,4.7
05015,Carroll County,4.3,4.5,6.1,7.3,7.2,6.3,6.1,5.2,4.6,3.6
05017,Chicot County,8.2,8.3,11.1,12.3,13.2,11.4,11.8,10.6,9.1,6.6
05019,Clark County,5.6,5.9,8.1,8.6,10.4,10.1,9.1,7.0,5.6,4.5
05021,Clay County,9.3,8.1,11.3,11.0,12.1,11.0,9.9,7.9,6.6,5.7
05023,Cleburne County,6.1,5.6,7.5,8.6,9.2,8.5,8.6,8.3,6.9,6.0
05025,Cleveland County,5.7,5.9,8.1,8.4,8.5,7.4,7.7,6.9,5.7,4.6
05027,Columbia County,6.5,7.0,9.7,10.0,10.0,9.0,8.9,7.2,6.6,5.8
05029,Conway County,4.9,5.5,7.5,9.7,9.9,9.2,9.4,7.2,6.1,5.8
05031,Craighead County,5.0,4.9,7.0,7.4,7.4,6.9,6.6,5.5,4.4,3.3
05033,Crawford County,4.9,4.9,7.8,8.2,8.9,8.0,7.7,6.0,5.2,3.9
05035,Crittenden County,6.5,7.9,10.9,10.5,10.9,9.6,8.5,7.5,6.2,4.6
05037,Cross County,7.4,6.8,8.4,8.3,8.4,7.9,7.7,6.4,5.4,4.5
05039,Dallas County,7.0,7.2,10.2,12.3,12.5,11.5,11.0,9.4,7.2,5.0
05041,Desha County,9.9,8.8,11.3,11.1,11.2,9.9,9.8,8.1,7.3,5.5
05043,Drew County,7.4,7.9,11.0,10.9,11.6,10.7,9.9,8.5,7.0,5.8
05045,Faulkner County,4.4,4.8,6.9,7.2,7.2,6.6,6.6,5.6,4.7,3.8
05047,Franklin County,4.5,4.5,7.3,7.7,7.7,7.1,7.0,5.7,5.0,4.1
05049,Fulton County,5.0,5.2,7.5,7.8,7.8,7.2,7.0,5.8,5.2,4.4
05051,Garland County,5.5,5.6,7.6,8.5,8.8,7.9,7.7,6.4,5.5,4.3
05053,Grant County,4.9,5.2,7.1,7.1,7.4,6.8,6.6,5.5,4.6,3.6
05055,Greene County,6.5,6.6,10.1,9.7,9.7,8.7,8.0,6.4,5.2,4.3
05057,Hempstead County,5.9,5.8,8.3,9.3,8.8,7.3,7.3,6.0,5.0,3.8
05059,Hot Spring County,5.3,6.6,8.6,8.6,8.3,7.2,7.4,5.8,5.1,4.0
